order_date,order_line,order_id,quantity,price,total_price,model,category_1,category_2,frame_material,bikeshop_name,city,state
2011-01-07T00:00:00Z,1,1,1,6070,6070,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-01-07T00:00:00Z,2,1,1,5970,5970,Trigger Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY
2011-01-10T00:00:00Z,1,2,1,2770,2770,Beast of the East 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS
2011-01-10T00:00:00Z,2,2,1,5970,5970,Trigger Carbon 2,Mountain,Over Mountain,Carbon,Kansas City 29ers,Kansas City,KS
2011-01-10T00:00:00Z,1,3,1,10660,10660,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-10T00:00:00Z,2,3,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-10T00:00:00Z,3,3,1,12790,12790,Supersix Evo Black Inc.,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-10T00:00:00Z,4,3,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-10T00:00:00Z,5,3,1,1570,1570,Synapse Disc 105,Road,Endurance Road,Aluminum,Louisville Race Equipment,Louisville,KY
2011-01-11T00:00:00Z,1,4,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Ann Arbor Speed,Ann Arbor,MI
2011-01-11T00:00:00Z,1,5,1,480,480,Catalyst 3,Mountain,Sport,Aluminum,Denver Bike Shop,Denver,CO
2011-01-11T00:00:00Z,2,5,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Denver Bike Shop,Denver,CO
2011-01-11T00:00:00Z,3,5,1,1250,1250,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,Denver Bike Shop,Denver,CO
2011-01-11T00:00:00Z,4,5,1,2060,2060,F-Si 2,Mountain,Cross Country Race,Aluminum,Denver Bike Shop,Denver,CO
2011-01-11T00:00:00Z,1,6,1,1960,1960,SuperX 105,Road,Cyclocross,Carbon,Phoenix Bi-peds,Phoenix,AZ
2011-01-11T00:00:00Z,2,6,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,Phoenix Bi-peds,Phoenix,AZ
2011-01-11T00:00:00Z,3,6,1,2340,2340,Habit 5,Mountain,Trail,Aluminum,Phoenix Bi-peds,Phoenix,AZ
2011-01-11T00:00:00Z,4,6,1,2240,2240,Synapse Carbon 105,Road,Endurance Road,Carbon,Phoenix Bi-peds,Phoenix,AZ
2011-01-12T00:00:00Z,1,7,1,10660,10660,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,2,7,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,3,7,1,1840,1840,Supersix Evo Tiagra,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,4,7,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,5,7,1,2340,2340,Habit 5,Mountain,Trail,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,6,7,1,12790,12790,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,7,7,1,3200,3200,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,8,7,1,9060,9060,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,9,7,1,3200,3200,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,10,7,2,1410,2820,CAAD8 105,Road,Elite Road,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,11,7,1,480,480,Catalyst 3,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,12,7,1,1950,1950,Slice 105,Road,Triathalon,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,13,7,1,9060,9060,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,14,7,2,815,1630,Trail 5,Mountain,Sport,Aluminum,Minneapolis Bike Shop,Minneapolis,MN
2011-01-12T00:00:00Z,1,8,1,1250,1250,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,Phoenix Bi-peds,Phoenix,AZ
2011-01-12T00:00:00Z,2,8,3,480,1440,Catalyst 3,Mountain,Sport,Aluminum,Phoenix Bi-peds,Phoenix,AZ
2011-01-17T00:00:00Z,1,9,1,2660,2660,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,New Orleans Velocipedes,New Orleans,LA
2011-01-17T00:00:00Z,2,9,2,3200,6400,CAAD12 Red,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
2011-01-17T00:00:00Z,3,9,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
2011-01-17T00:00:00Z,4,9,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
2011-01-17T00:00:00Z,5,9,5,1030,5150,Synapse Sora,Road,Endurance Road,Aluminum,New Orleans Velocipedes,New Orleans,LA
2011-01-17T00:00:00Z,1,10,1,1250,1250,CAAD8 Tiagra,Road,Elite Road,Aluminum,Portland Bi-peds,Portland,OR
2011-01-18T00:00:00Z,1,11,1,5860,5860,CAAD12 Black Inc,Road,Elite Road,Aluminum,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,2,11,2,3200,6400,CAAD12 Red,Road,Elite Road,Aluminum,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,3,11,1,1840,1840,Supersix Evo Tiagra,Road,Elite Road,Carbon,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,4,11,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,5,11,1,7460,7460,Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,6,11,1,3200,3200,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,San Francisco Cruisers,San Francisco,CA
2011-01-18T00:00:00Z,7,11,1,3500,3500,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,San Francisco Cruisers,San Francisco,CA
2011-01-20T00:00:00Z,1,12,2,3730,7460,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,2,12,1,3840,3840,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,3,12,1,9060,9060,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,4,12,1,5860,5860,CAAD12 Black Inc,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,5,12,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,6,12,1,4500,4500,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,7,12,1,3200,3200,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,8,12,1,1840,1840,Syapse Carbon Tiagra,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,9,12,1,9590,9590,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,10,12,1,3200,3200,CAAD12 Red,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,11,12,1,2660,2660,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,12,12,1,5330,5330,Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,13,12,1,2240,2240,Synapse Carbon 105,Road,Endurance Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,14,12,1,2240,2240,CAAD12 Ultegra,Road,Elite Road,Aluminum,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,15,12,1,3200,3200,Slice Ultegra D12,Road,Triathalon,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,16,12,3,1840,5520,Supersix Evo Tiagra,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,17,12,1,870,870,Synapse Claris,Road,Endurance Road,Aluminum,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,18,12,1,2660,2660,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,19,12,1,7460,7460,Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,Louisville Race Equipment,Louisville,KY
2011-01-20T00:00:00Z,1,13,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,Nashville Cruisers,Nashville,TN
2011-01-20T00:00:00Z,2,13,1,1410,1410,CAAD8 105,Road,Elite Road,Aluminum,Nashville Cruisers,Nashville,TN
2011-01-24T00:00:00Z,1,14,1,2340,2340,Habit 5,Mountain,Trail,Aluminum,Albuquerque Cycles,Albuquerque,NM
2011-01-24T00:00:00Z,2,14,1,2770,2770,Beast of the East 1,Mountain,Trail,Aluminum,Albuquerque Cycles,Albuquerque,NM
2011-01-24T00:00:00Z,3,14,1,4800,4800,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,Albuquerque Cycles,Albuquerque,NM
2011-01-25T00:00:00Z,1,15,1,7990,7990,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,2,15,1,1250,1250,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,3,15,3,3200,9600,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,4,15,1,4260,4260,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,5,15,1,1250,1250,CAAD8 Tiagra,Road,Elite Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,6,15,2,4480,8960,Habit Carbon SE,Mountain,Trail,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,7,15,1,1350,1350,Trail 2,Mountain,Sport,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,8,15,1,1950,1950,CAAD12 Disc 105,Road,Elite Road,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,9,15,1,12790,12790,Supersix Evo Black Inc.,Road,Elite Road,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,10,15,1,1950,1950,Habit 6,Mountain,Trail,Aluminum,Oklahoma City Race Equipment,Oklahoma City,OK
2011-01-25T00:00:00Z,11,15,1,2450,2450,SuperX Ultegra,Road,Cyclocross,Carbon,Oklahoma City Race Equipment,Oklahoma City,OK
